,reviews
348,Bad experience. Soon after purchasing within 2 days the front camera is not working
349,Gr8 phone ......... excellent service
350,"Genuine sealed product ,delivered at the right time too"
351,i am loving it
352,while using 3g phone is getting over heated..
353,Not happy with the phone ... Always giving problem
354,Second hand... used phone.
355,Prompt delivery and i like the phone
356,Mobile phone not activated
357,I love it
358,nice phone. really apple keep his words
359,Great phone and good response
360,Very good product at great price
361,Mobile getting over heat
362,Bcs it's apple
363,VERY GOOD
364,Good phone
365,Excellent product. No issues with product.
366,Nice Product
367,Superb performance love it.After installing iOS9 works amazing. 100% bettr than android.
368,Good
369,very nice service I have received very less time to my home really nice product Amazon is a best online shopping
370,Good one...
371,"Great product ,awesome delivery"
372,Its always best; no need to give review :)loving and get cheaper then other sites. . . . .
373,Tooo good :)
374,battery getting low soon
375,Nice!
376,Terrific as expected.
377,Nice phone
378,Good condition...m happy..
379,Excellent! And the touchscreen is divine! :)
380,Nice experiance with amazon and with Iphone also
381,the product of apple is origional.but i phone create some problem.so i return it😀
382,Ok
383,Excellent Product
384,Nice product & good buy
385,It was delivered overnight! And in very good condition.
386,Very nice
387,YES I LIKE IT
388,can i get the same product with same price
389,good phone compare to other phones
390,Good working fine
391,Prompt delivery.Genuine.excited
392,not original
393,great
394,It hangs and puctures gets blur
395,sound is not good
396,Really Amazing !! not just only Mobile
397,Network problem
398,good
399,good working..👍🏻👍🏻
400,Not bad.
401,tried and tested
402,Perfect mobile
403,nice Phone
404,amging  experience
405,"Awesome product ,no flaw so far.i love it"
406,Good
407,Superb...!!! Love it😊😊😊😊
408,Name is enough
409,i love it
410,Goof
411,Excellent
412,It is superb
413,Great product....I got this phone in 5 days....enjoying it
414,Outstanding
415,Excellent product.
416,"Orginal product , fast service"
417,Very good.
418,Nice product.
419,Good
420,Price is higher between the market rate..
421,Very very good performance better then all other mobail phones
422,Battery is so poor....
423,Good
424,Great deal
425,good phone
426,its pretty good...
427,Very good mobile.
428,it doesn't worked properly
429,price is higher to the other shopper.
430,Excellent phone and awesome price
431,battery is very weak...
432,Nice phone. Loved it!
433,fine
434,very good phone
435,Superr
436,Good phone
437,Very Good
438,Gooooooooooddd
439,Battery back up is very poor
440,Second day charging cable went bad.
441,Good.. Worth buying..
442,Nice
443,It super
444,Good
445,Its good and makes life easier.
446,Vry nice phone
447,Excellent...
448,Good
449,satisfied
450,superb.working perfectly....
451,It's working fine good piece
452,good stuff.........
453,Nice
454,great
455,Very good phone.Don't hesitateto get it.
456,jus awesome for this prize
457,It has some dot type marks on the side of the phone
458,Good one for me
459,Great! experience.
460,Great... Thanks for providing your amazing services in such a rural area....
461,bad experience
462,Excellent experience
463,excellent product.i give 5 star
464,i like it
465,Phone is nice but sometimes over heating
466,good phone i loved it
467,liked it
468,Nice ! thank you
469,Its good
470,Not working properly......voice not hearing apple 4s
471,Ooooh
472,superb deal..nice product
473,Very good experience
474,Good
475,Not so worth full.
476,Nice experience
477,Nice phone
478,Nice phone
479,very happy
480,It's brilliant
481,Good one.
482,A satisfied customer
483,Awsome
484,Best performs
485,Earphones were missing
486,Just awesome
487,nice phone
488,It's really great
489,Awesome phone
490,its ok
491,Good
492,Kgood
493,Wonderfull
494,super
495,amazing quality
496,its a gud deal
497,Excellent
498,Super product.
499,Good One
500,its good
501,superb
502,best
503,👍 go 4 it !
504,nice phone
505,Happy
506,excellent
507,GOOD
508,It's good
509,excellent
510,NICE
511,Gr8
512,Good
513,Good
514,"Audio jack is not working properly,"
515,Super
516,Ok
517,Bad
518,😃😃😃
519,Handset i recd it was good condition
520,Nice phone
521,Good.. No problem..
522,Really the product is worth buying kudos
523,One side speaker is not working I'm not satisfied
524,Nice one
525,It's going find its gud pes
526,it's is comfortable phone to use
527,nice mobile
528,Nice
529,was gud
530,Good
